"","locs2","Column","dates","notice","status","landref","locs","document","dates2","landref_cl","monthlies","duplic","lat","long","county","monthcats","vars"
"1","Baringo",4577,2016-04-22,"GAZETTENOTICENO2785","Lost","Baringo/ Kewamoi  A/ 620","district of Baringo","Land Title Deed","22April2016","Baringo/Kewamoi  A/620","Apr2016",TRUE,0.6320551,36.0567202,"Baringo","Jan - May, 2016",1
"2","Baringo Central",6442,2015-01-30,"GAZETTENOTICENO512-603","Lost","Baringo/ Kapropita/ 712","district of Baringo Central","Land Title Deed","30January2015","Baringo/Kapropita/712","Jan2015",FALSE,-1.2979914,36.8620588,"Baringo","Jan - Apr, 2015",1
"3","Baringo Central",2002,2014-10-10,"GAZETTENOTICENO7154","Lost","Baringo/ Kewamoi' A7830","district of Baringo Central","Land Title Deed","10October2014","Baringo/Kewamoi' A7830","Oct2014",TRUE,-1.2979914,36.8620588,"Baringo","Sep - Dec, 2014",1
"4","Baringo Central",2586,2015-02-13,"GAZETTENOTICENO887","Lost","Baringo/ Kewamoi  A/ 1012","district of Baringo Central","Land Title Deed","13February2015","Baringo/Kewamoi  A/1012","Feb2015",TRUE,-1.2979914,36.8620588,"Baringo","Jan - Apr, 2015",1
"5","Baringo Central",2141,2014-07-11,"GAZETTENOTICENO4679","Lost","Baringo/ Kewamoi  A/ 2761","district of Baringo Central","Land Title Deed","11July2014","Baringo/Kewamoi  A/2761","Jul2014",TRUE,-1.2979914,36.8620588,"Baringo","Apr - Aug, 2014",1
"6","Baringo Central",2001,2014-10-10,"GAZETTENOTICENO7153","Lost","Baringo/ Mochongoi Block 1/ 1184","district of Baringo Central","Land Title Deed","10October2014","Baringo/Mochongoi Block 1/1184","Oct2014",TRUE,-1.2979914,36.8620588,"Baringo","Sep - Dec, 2014",1
"7","Baringo Central",4725,2016-01-22,"GAZETTENOTICENO291","Lost","Baringo/ Mochongoi Block I/ 1086","district of Baringo Central","Land Title Deed","22January2016","Baringo/Mochongoi Block I/1086","Jan2016",TRUE,-1.2979914,36.8620588,"Baringo","Jan - May, 2016",1
"8","Baringo Central",2270,2015-09-11,"GAZETTENOTICENO6619-6690","Lost","Chapchap/ Kituro/ 553","district of Baringo Central","Land Title Deed","11September2015","Chapchap/Kituro/553","Sep2015",TRUE,-1.2979914,36.8620588,"Baringo","Sep - Dec, 2015",1
"9","Baringo Central",6517,2014-05-30,"GAZETTENOTICENO3656","Lost","no. baringo/ kewamoi  a/ 499","district of Baringo Central","Land Title Deed","30May2014","no. baringo/kewamoi  a/499","May2014",TRUE,-1.2979914,36.8620588,"Baringo","Apr - Aug, 2014",1
"10","Baringo Central",443,2015-07-03,"GAZETTENOTICENO4763","Lost","Pokor/ Keben/ Tenges/ 428","district of Baringo Central","Land Title Deed","03July2015","Pokor/Keben/Tenges/428","Jul2015",TRUE,-1.2979914,36.8620588,"Baringo","May - Aug, 2015",1
"11","Baringo Central",6331,2015-05-29,"GAZETTENOTICENO3842","Lost","Sacho/ Kabasis/ 304","district of Baringo Central","Land Title Deed","29May2015","Sacho/Kabasis/304","May2015",TRUE,-1.2979914,36.8620588,"Baringo","May - Aug, 2015",1
"12","Baringo Central",4726,2016-01-22,"GAZETTENOTICENO292","Lost","Saimo/ Kasist/ 332","district of Baringo Central","Land Title Deed","22January2016","Saimo/Kasist/332","Jan2016",TRUE,-1.2979914,36.8620588,"Baringo","Jan - May, 2016",1
"13","Bomet",707,2014-12-05,"GAZETTENOTICENO8696-8782","Lost","Kericho/ Chesoen/ 1526","district of Bomet","Land Title Deed","05December2014","Kericho/Chesoen/1526","Dec2014",TRUE,-0.7777854,35.3356518,"Bomet","Sep - Dec, 2014",1
"14","Bomet",5850,2015-03-27,"GAZETTENOTICENO1997","Lost","Kericho/ Mogogosiek/ 2276","district of Bomet","Land Title Deed","27March2015","Kericho/Mogogosiek/2276","Mar2015",TRUE,-0.7777854,35.3356518,"Bomet","Jan - Apr, 2015",1
"15","Bomet",2052,2014-12-11,"GAZETTENOTICENO8897-8963","Lost","Kericho/ Olokyin/ 58","district of Bomet","Land Title Deed","11December2014","Kericho/Olokyin/58","Dec2014",TRUE,-0.7777854,35.3356518,"Bomet","Sep - Dec, 2014",1
"16","Bomet",5117,2015-12-24,"GAZETTENOTICENO9499","Lost","Kericho/ Silibwet/ 72","district of Bomet","Land Title Deed","24December2015","Kericho/Silibwet/72","Dec2015",TRUE,-0.7777854,35.3356518,"Bomet","Sep - Dec, 2015",1
"17","Bondo",1404,2014-11-07,"GAZETTENOTICENO8027","Lost","Asembo/ Nyagoko/ 1189","district of Bondo","Land Title Deed","07November2014","Asembo/Nyagoko/1189","Nov2014",FALSE,-0.1003371,34.2754988,"Siaya","Sep - Dec, 2014",1
