
				Page: 370GAZETTE NOTICE NO. 1195
THE COMPANIES ACT
(Cap.  486)
DISSOLUTION
PURSUANT to section 339 (5) of the Companies Act, it is notified for general information that the under mentioned companies are dissolved.
Number                         Name of Company
102581                         Agi Logistics Kenya Limited
46129                           Altech Swift Global Limited
53933                           Alphine Estates Limited
CPR/2013/102482         Alysco Trading Limited
152510                         Anchor Building Technologies Limited
142219                         APS Global Limited
111505                         Blue Ocean Trading Limited
127760                         Bidii Orchards Limited
CPR/2013/100477         Brent Investments Limited
52154                           Burgerland Fast Foods Limited
CPR/2009/15819           Citka Limited
CPR/2009/11024           Cord of Three Limited
CPR/2010/38337           Delta Global Limited
140115                         DST Fiscal Services Limited
CPR/2010/34809           East African Copper Limited
CPR/2013/115644         Haveva Limited
CPR/2010/34722           Hua Chuan Company Limited
61812                           Jashbhai Auto Stores Limited
CPR/2010/27834           Kaizen Agricultural Services Limited
67077                           Kericho Ironmongers Limited
CPR/2009/14272           Kenex Express Limited
106350                         Kenido Agencies Limited
CPR/2013/106400         Kenya Kalle Tours and Safaris Limited
91422                           Kipoori (Kenya) Limited
CPR/2009/15108           Korn Bakers (Nairobi) Limited
CPR/2011/60713           Kyandu Bright Academy Limited
21178                           Libra Holdings Limited
CPR/2012/77809           Lugano Limited
CPR/2012/91984           Marland General Enterprises Limited
168442                         Maguna-Andu Self Selection Stores Limited
164432                         Maimuna Limited
74568                           Mahale Limited
Number                    Name of Company
CPR/2011/49577           Masika Limited
CPR/2013/124269         Meteor Global Advanced Technology Enterprises Limited
CPR/2009/13621           Miti Mingi Services Limited
110578                         Mountain Dew Limited
70483                           Muya Kamami Holdings Limited
50051                           Nanak Enterprises Works Limited
21945                           Nuntex Limited
CPR/2010/17405           Portcom Limited
CPR/2010/35427           Reaf Apartments Limited
CPR/2010/27666           Rift Valley Blow Plast Limited
162227                         Sai Developers Limited
CPR/2013/107613         Saruki Technologies Limited
106277                         Scratch Connect Limited
110755                         Seal Honey (Merchandise) Limited
CPR/2010/16445           Seaford Investments Limited
41874                           Skychem Distributors Limited
115991                         Starmart Agencies Limited
35805                           Stasso Properties Limited
CPR/2012/66747           Staples Enterprises Limited
143538                         Stamford Coach Company Limited
CPR/2010/24984           Subflo Holdings Limited
170591                         Sure Investments Limited
CPR/2011/43943           Super Delta Limited
109210                         Swami Feeds Limited
159767                         The Far Horizon Limited
CPR/2010/35167           Texcom Limited
124982                         Transworld Courier Express Limited
47465                           Trinity Kenya Limited
CPR/2012/90952           Top Buds Limited
45671                           Tower Power Limited.
CPR/2013/93968           Valley Arcade Investments Limited
134301                         Vert Galant Limited
23322                           Wananchi Registrars Limited
CPR/2013/118226         Wasanii Investments Company Limited
Dated the 16th February, 2015.
H. NYOKABI,
for Registrar of Companies.

