
				Page: 1208GAZETTE NOTICE NO. 3539
THE COMPANIES ACT
(Cap. 486)
DISSOLUTION
PURSUANT to section 339 (5) of the Companies Act, it is notified for general information that the under mentioned companies are dissolved.
Number                         Name of Company
C63188                         Ace Forex Bureau Limited
C67487                         Almex Investments Limited
C72955                         Altay Investments Limited
158321                         Amboseli Sopa Investments Limited
C63988                         Amhurst Limited
CPR/2011/48570           Athi River Conductors and Transformers Limited
C118281                       Avalon Properties Limited
C59347                         Beldeen Enterprises Limited
121917                         Budget Investments Limited
9270                             Business Managers Limited
96363                           Choices Wild Limited
CPR/2014/152623         ChurchBlaze Limited
CPR/2013/92824           Converge Consulting Limited
C64366                         Deltron Limited
11898                           Ernst & Young Associates
C65087                         Europa Holdings Limited
C44210                         Gallipot Investments Limited
CPR/2014/130104         Gatundu Fifty
C38540                         Goodland Limited
C 26454                        Graphos Design and Graphics Services Limited
C149794                       Hazelville Holdings Limited
91515                           Haryana Agro Investments (K) Limited
CPR/2014/157738         HealthFarms Limited
3201                             Huwamu Properties
CPR/2011/53655           Innoveight Limited
C78504                         Iris Properties Limited
CPR/2009/788               Isinya Trading Company Limited
C76163                         Largerfield Investments Limited
62191`                          Karangiri Investment Company Limited
141692                         Kenfone Limited
CPR/2011/43948           Magners (K) Limited
C74584                         Maricourt Investments Limited
CPR/2010/27410           Midrock Services Company Limited
97982                           Nairobi South Pharmacy
C59351                         Norwood Investments Limited
C56343                         Octet Limited
C67492                         Opal Holdings Limited
CPR/2010/33243           Park Office Suites Management Limited
C67494                         Plenitude Holdings Limited
CPR/2010/24458           Rankom Limited
CPR/2009/13747           Red Hawk Solutions Limited
126240                         Roc Cosmetics (Kenya) Limited
C58281                         Rockwood Enterprises Limited
C74592                         Roswel Limited
C66133                         Saarstar Investments Limited
C63190                         Sapphire Forex Bureau Limited
C133206                       Seasons Art Limited
CPR/2013/95376           Shandoor Builders Limited
C66135                         Sienna Holdings Limited
CPR/2014/151460         Simba Investment Consultant Company Limited
CPR/2014/142370         SinoAfrica Pharmchem Limited
C170572                       Southgate Investments Limited
C162542                       Stanbridge Holdings Limited
C66338                         Suraj Farms Limited
C65094                         Syncan Investments Limited
C64372                         Tenrag Limited
CPR/2010/16396           The One Nairobi Limited
C58234                         Timetec Limited
C149797                       Torrington Properties Limited
CPR/2013/113013         Total Gaz Limited
CPR/2011/59357           United Infra Limited
CPR/2013/96881           Zyband Investments Limited
Dated the 28th April. 2015.
H. NYOKABI,
for Registrar of Companies.

